City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,tabou,4.423,-7.3528,28.44,73,85,4.63,CI,1680539745
144,saintes,45.6667,-0.75,10.28,65,91,5.12,FR,1680539296
145,tezu,27.9167,96.1667,16.53,81,86,2.36,IN,1680539296
146,inegol,40.0781,29.5133,19.6,55,100,1.99,TR,1680539297
147,new norfolk,-42.7826,147.0587,13.17,72,100,1.25,AU,1680539743
148,mudgee,-32.5943,149.5871,15.9,91,12,2.95,AU,1680539298
149,kirovskiy,45.0917,133.5136,9.32,67,100,3.23,RU,1680539298
150,seguela,7.9611,-6.6731,33.85,39,81,2.26,CI,1680539298
151,tiksi,71.6872,128.8694,-12.3,95,84,3.21,RU,1680539745
152,raduzhnyy,62.0961,77.475,-6.6,90,100,4.56,RU,1680539299
153,luderitz,-26.6481,15.1594,19.25,67,0,9.93,NA,1680539745
154,bengkulu,-3.8004,102.2655,24.34,89,100,2.84,ID,1680539746
155,surt,31.2089,16.5887,19.23,50,5,9.72,LY,1680539300
156,suzhou,31.3114,120.6181,16.35,80,100,9.42,CN,1680539300
157,mackenzie,55.2999,-123.1698,-4.88,74,0,1.54,CA,1680539301
158,faya,18.3851,42.4509,18.06,54,99,3.44,SA,1680539301
159,dikson,73.5069,80.5464,-27.26,100,85,4.21,RU,1680539746
160,archidona,37.0965,-4.3887,17.59,20,42,3.17,ES,1680539302
161,iqaluit,63.7506,-68.5145,-12.39,51,75,5.66,CA,1680539746
162,nyurba,63.2842,118.3319,-9.65,97,100,2.28,RU,1680539303
163,tsaratanana,-16.7833,47.65,24.43,86,100,0.37,MG,1680539303
164,talnakh,69.4865,88.3972,-28.22,98,64,4.02,RU,1680539746
165,cidreira,-30.1811,-50.2056,24.08,61,8,4.97,BR,1680539747
166,praya,14.9215,-23.5087,29.3,42,41,8.23,CV,1680539304
167,utevka,52.9035,50.9495,11.12,45,31,2.87,RU,1680539304
168,hagersville,42.9668,-80.0497,13.31,68,97,7.88,CA,1680539305
169,jega,12.2175,4.3792,39.6,5,39,2.97,NG,1680539305
170,kapaa,22.0752,-159.319,21.18,89,0,2.06,US,1680539747
171,atar,20.5169,-13.0499,37.24,5,2,6.74,MR,1680539747
172,ilulissat,69.2167,-51.1,-7.99,53,20,7.72,GL,1680539747
173,zharkent,44.1628,80.0,9.03,24,0,3.39,KZ,1680539149
174,lavrentiya,65.5833,-171.0,-16.07,97,100,2.82,RU,1680539747
175,turka,49.1541,23.0297,-2.34,94,100,5.44,UA,1680539306
176,lebu,-37.6167,-73.65,15.13,65,0,8.28,CL,1680539747
177,hovd,48.0056,91.6419,-8.18,22,0,2.45,MN,1680539306
178,belyy yar,53.6039,91.3903,-0.06,37,0,3.0,RU,1680539306
